salesrepname,customername,countryname,pgcombine,material,process,values_type,budget_2025_jan,budget_2025_feb,budget_2025_mar,budget_2025_apr,budget_2025_may,budget_2025_jun,budget_2025_jul,budget_2025_aug,budget_2025_sep,budget_2025_oct,budget_2025_nov,budget_2025_dec
Sofiane & Morocco,Taibi Bilel agro,Algeria,Laminates,Non-PE,Printed,KGS,50000,50000,50000,50000,50000,50000,50000,0,0,0,0,0
Sofiane & Morocco,Algo Food,Algeria,Laminates,Non-PE,Printed,KGS,50000,50000,0,0,0,50000,0,50000,0,0,0,0
Sofiane & Morocco,Famico,Algeria,Laminates,Non-PE,Printed,KGS,0,50000,0,0,0,0,50000,0,0,0,0,0
Sofiane & Morocco,Dozia,Algeria,Laminates,Non-PE,Printed,KGS,25000,0,0,0,0,0,0,0,0,0,0,0
Sofiane & Morocco,SARL CONAGRAL,Algeria,Laminates,Non-PE,Printed,KGS,25000,0,0,0,25000,0,0,0,0,25000,0,0
Sofiane & Morocco,SOMAFACO,Morocco,Laminates,Non-PE,Printed,KGS,50000,25000,25000,25000,25000,25000,25000,25000,25000,25000,0,25000
Sofiane & Morocco,SARL UNIVERS HYGIENE,Algeria,Laminates,Non-PE,Printed,KGS,0,25000,0,0,0,25000,0,0,0,0,25000,0
Sofiane & Morocco,SARL CELIA,Algeria,Industrial Items Printed,PE,Printed,KGS,0,25000,25000,25000,25000,25000,25000,25000,25000,0,0,0
Sofiane & Morocco,Eurl elgazou,Algeria,Industrial Items Printed,PE,Printed,KGS,25000,0,0,0,0,0,0,0,0,0,0,0
Sofiane & Morocco,SARL MALUX,Algeria,Mono Layer Printed,Non-PE,Printed,KGS,0,25000,0,25000,0,25000,0,25000,0,0,0,0
Sofiane & Morocco,SARL SOFAMAR,Algeria,Mono Layer Printed,Non-PE,Printed,KGS,0,0,25000,0,25000,0,25000,0,25000,0,0,0
Sofiane & Morocco,Bonal ,Algeria,Laminates,Non-PE,Printed,KGS,0,0,0,25000,0,0,0,0,0,0,0,0
Sofiane & Morocco,Soummam,Algeria,Shrink Sleeves,Non-PE,Printed,KGS,0,0,10000,0,0,0,0,0,0,0,10000,0
Sofiane & Morocco,best biscuits,Morocco,Laminates,Non-PE,Printed,KGS,0,0,0,25000,0,0,0,0,0,0,0,0
Sofiane & Morocco,maargafrique,Morocco,Mono Layer Printed,Non-PE,Printed,KGS,0,0,25000,0,0,0,0,0,0,0,0,0
Sofiane & Morocco,Henrys,Morocco,Laminates,Non-PE,Printed,KGS,0,0,0,0,0,12000,0,0,0,0,0,12000
Sofiane & Morocco,Miss maria,Algeria,Laminates,Non-PE,Printed,KGS,0,0,0,0,0,0,0,0,0,25000,0,0
Sofiane & Morocco,Golden café,Tunisia,Laminates,Non-PE,Printed,KGS,0,0,0,0,12000,0,0,0,0,0,12000,0
Sofiane & Morocco,Med Oil,Tunisia,Laminates,Non-PE,Printed,KGS,0,0,0,0,0,0,12000,0,0,0,0,12000
Sofiane & Morocco,Danone,Tunisia,Shrink Sleeves,Non-PE,Printed,KGS,0,0,0,0,12000,0,0,0,0,0,0,12000
Sofiane & Morocco,Natilait,Tunisia,Shrink Sleeves,Non-PE,Printed,KGS,0,0,0,12000,0,0,0,0,0,0,0,0
Narek Koroukian,Mai Dubai ,UAE,Shrink Film Printed,PE,Printed,KGS,50000,40000,40000,45000,45000,55000,50000,60000,40000,35000,35000,30000
Narek Koroukian,Mai Dubai ,UAE,Shrink Sleeves,Non-PE,Printed,KGS,833,833,833,0,0,0,0,0,0,833,833,833
Narek Koroukian,Mai Dubai ,UAE,Shrink Film Plain,PE,Unprinted,KGS,7000,6000,6000,7000,7000,8000,7500,8500,6500,5500,5500,5500
Narek Koroukian,Al Ain Food & Beverages,UAE,Shrink Film Printed,PE,Printed,KGS,50000,55000,65000,65000,70000,70000,75000,70000,65000,55000,50000,35000
Narek Koroukian,Al Ain Food & Beverages,UAE,Shrink Film Plain,PE,Unprinted,KGS,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Narek Koroukian,Masafi,UAE,Shrink Film Printed,PE,Printed,KGS,20000,25000,40000,35000,45000,30000,30000,50000,20000,40000,55000,30000
Narek Koroukian,Al Nakheel Hygienic Papar,UAE,Industrial Items Printed,PE,Printed,KGS,13000,22000,15000,25000,20000,25000,25000,35000,20000,20000,30000,20000
Narek Koroukian,Al Barakah Dates ,UAE,Industrial Items Plain,PE,Unprinted,KGS,0,0,0,0,0,2000,0,2000,0,0,2000,0
Christopher Dela Cruz,National Canned ,KUWAIT,Shrink Film Printed,PE,Printed,KGS,0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
Christopher Dela Cruz,National Canned ,KUWAIT,Wrap Around Label,Non-PE,Printed,KGS,0,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Christopher Dela Cruz,National Canned ,KUWAIT,Shrink Sleeves,Non-PE,Printed,KGS,0,200,0,200,0,200,0,0,200,0,0,200
Christopher Dela Cruz,Al Rawdatain,KUWAIT,Shrink Sleeves,Non-PE,Printed,KGS,0,500,0,0,500,0,500,0,500,0,500,0
Christopher Dela Cruz,Al Rawdatain ,KUWAIT,Wrap Around Label,Non-PE,Printed,KGS,0,2000,2000,2000,3000,3000,3000,3000,2000,2000,2000,3000
Christopher Dela Cruz,Rajyog Water ,UAE,Shrink Sleeves,Non-PE,Printed,KGS,500,1000,0,1000,0,1500,1500,0,1000,500,500,500
Christopher Dela Cruz,Rajyog Water ,UAE,Wrap Around Label,Non-PE,Printed,KGS,500,500,1000,1000,1000,1000,2000,2000,2000,1500,1500,1000
Christopher Dela Cruz,Rajyog Water ,UAE,Shrink Film Plain,PE,Unprinted,KGS,0,2000,2000,5000,5000,5000,5000,5000,2000,2000,2000,2000
Christopher Dela Cruz,Rajyog Water ,UAE,Shrink Film Printed,PE,Printed,KGS,0,5000,0,5000,0,5000,0,5000,0,5000,0,5000
Christopher Dela Cruz,Alpina,UAE,Shrink Sleeves,Non-PE,Printed,KGS,0,8000,0,0,8000,0,0,8000,0,0,8000,0
